player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Josh Oliver,47083,TE,MIN,15,0,18,62.5,0,0,46,19.9,21.1,97.8,0,1,1,52,246,30.4,0,0,3,4.1,3.9,100.0,0,0,3,76
Zack Moss,40341,HB,CIN,8,0,7,50.6,1,2,48,23.6,24.1,92.7,0,5,2,51,212,43.7,1,1,22,22.2,22.3,90.9,3,1,23,103
Austin Ekeler,12164,HB,WAS,12,0,32,36.3,0,3,47,18.0,18.1,92.6,0,5,2,51,281,27.3,0,2,18,14.5,14.9,88.9,3,1,20,134
Jackson Carman,52575,T,MIA,1,1,17,43.0,1,1,44,100.0,100.0,95.5,2,3,1,50,50,70.7,0,1,13,100.0,100.0,96.2,1,0,15,15
Antonio Gibson,78050,HB,NE,17,0,19,44.3,0,2,46,22.0,22.2,93.5,0,4,2,50,225,35.9,0,2,23,20.9,21.6,91.3,3,1,25,116
Trey Sermon,57372,HB,IND,17,0,14,57.2,1,1,48,28.6,27.9,97.9,0,2,0,50,179,69.4,0,0,22,22.4,22.1,100.0,0,0,23,104
Julian Hill,88685,TE,MIA,16,0,17,51.5,1,3,47,21.7,21.6,93.6,0,5,1,50,232,49.6,0,1,2,8.0,7.1,75.0,1,0,2,28
Jahmyr Gibbs,122474,HB,DET,17,0,11,22.5,3,5,48,13.5,13.3,89.6,1,9,1,49,368,17.8,3,2,15,10.0,10.3,76.7,6,1,16,156
Charlie Woerner,42257,TE,ATL,16,0,2,61.9,2,0,46,35.1,36.0,97.8,0,2,0,49,136,36.2,0,0,2,4.9,4.8,100.0,0,0,2,42
Luke Farrell,42353,TE,JAX,17,0,15,82.6,1,0,43,29.9,32.2,98.8,0,1,0,49,152,,0,0,0,0.0,0.0,,0,0,0,39
Austen Pleasants,37066,T,SF,2,0,28,49.3,0,4,45,100.0,100.0,95.6,1,4,0,49,49,62.1,0,4,29,100.0,100.0,93.1,4,0,31,31
Colby Parkinson,52266,TE,LA,17,0,26,72.5,0,1,45,13.1,13.3,96.7,1,2,1,49,368,39.7,0,0,2,1.3,1.2,100.0,0,0,2,164
Sam LaPorta,101690,TE,DET,16,0,11,57.2,1,1,47,9.5,9.3,97.9,0,2,0,48,515,54.9,0,0,5,2.6,2.5,100.0,0,0,5,203
Jonathan Taylor,57488,HB,IND,14,0,14,43.4,0,4,44,14.0,14.1,90.9,1,6,2,48,340,59.5,0,2,17,14.7,14.3,94.1,2,0,18,126
Alexander Mattison,45817,HB,LV,14,0,23,41.1,0,4,44,16.8,16.9,95.5,0,4,0,48,284,50.7,0,3,20,16.7,18.0,92.5,3,0,24,133
Jack Driscoll,27064,G,PHI,4,0,24,70.0,1,1,48,100.0,100.0,95.8,0,3,1,48,48,61.0,0,1,19,100.0,100.0,92.1,2,1,19,19
Nick Gates,29476,C,PHI,3,0,24,67.7,0,0,47,100.0,100.0,100.0,0,0,0,47,47,51.7,0,0,19,100.0,100.0,100.0,0,0,19,19
Sam Mustipher,13026,G,LAC,3,1,27,28.9,1,3,45,100.0,100.0,95.6,1,4,0,47,47,0.0,1,2,16,100.0,100.0,90.6,3,0,16,16
Nick Vannett,10728,TE,TEN,17,0,31,50.2,1,2,43,30.7,30.9,91.9,0,5,2,46,149,22.6,1,2,12,48.0,46.4,79.2,4,1,13,28
Christian Jones,77463,T,ARZ,2,2,1,77.2,0,0,40,100.0,100.0,100.0,2,0,0,46,46,77.6,0,0,14,100.0,100.0,100.0,0,0,16,16
Dylan McMahon,98044,C,LA,1,0,26,25.8,1,4,45,100.0,100.0,92.2,0,6,1,46,46,15.7,0,1,12,100.0,100.0,87.5,2,1,12,12
Robert Hainsey,59980,C,TB,1,0,30,81.0,0,0,41,100.0,100.0,100.0,0,0,0,45,45,82.7,0,0,21,100.0,100.0,100.0,0,0,22,22
Alvin Kamara,11822,HB,NO,14,0,20,38.7,1,2,43,12.1,12.0,94.2,0,4,1,45,376,33.9,0,1,16,11.2,11.8,90.6,2,1,18,153
Cooper Hodges,81548,G,JAX,3,0,15,35.6,1,2,41,100.0,100.0,96.3,0,3,0,44,44,20.6,1,2,24,100.0,100.0,93.7,3,0,24,24
Lester Cotton,46085,G,NE,5,0,19,43.1,2,1,44,100.0,100.0,94.3,0,4,1,44,44,51.5,1,1,18,100.0,100.0,88.9,3,1,18,18
Kenneth Walker III,97199,HB,SEA,11,1,29,29.7,3,4,38,14.5,15.3,90.8,2,7,0,44,288,45.3,1,2,22,18.0,19.6,93.2,3,0,27,138
Doug Kramer,41458,G,CHI,7,0,6,18.0,0,2,39,100.0,100.0,94.9,1,3,1,43,43,39.0,0,2,22,100.0,100.0,95.5,2,0,24,24
Darian Kinnard,51789,T,PHI,1,0,24,52.4,0,2,43,100.0,100.0,95.3,0,3,1,43,43,30.5,0,2,18,100.0,100.0,88.9,3,1,18,18
Nate Adkins,87625,TE,DEN,17,0,10,66.4,1,3,39,22.8,23.0,94.9,0,4,0,42,183,76.8,0,0,3,7.5,6.8,100.0,0,0,3,44
Joe Mixon,11803,HB,HST,14,0,13,52.9,0,2,39,14.1,14.5,94.9,1,3,1,42,290,52.5,0,1,14,13.6,12.7,96.4,1,0,14,110
Kyle Hinton,83163,G,ATL,6,0,2,32.4,3,1,38,100.0,100.0,94.7,0,4,0,41,41,29.7,1,1,21,100.0,100.0,95.2,2,0,23,23
Michael Mayer,122906,TE,LV,11,0,23,67.1,0,1,41,15.1,14.2,96.3,0,2,1,41,288,72.1,0,0,2,2.0,1.9,100.0,0,0,2,107
Brenton Strange,101694,TE,JAX,17,0,15,53.6,1,3,36,11.6,12.1,94.4,0,4,0,40,330,36.2,0,1,4,2.7,2.5,87.5,1,0,4,159
Sedrick Van Pran-Granger,124042,C,BUF,5,0,4,42.1,1,0,40,100.0,100.0,98.7,0,1,0,40,40,17.9,1,0,18,100.0,100.0,97.2,1,0,18,18
Jamaal Williams,11889,HB,NO,14,0,20,46.3,1,1,35,31.3,32.5,91.4,0,4,2,40,123,45.0,1,0,20,33.9,34.9,92.5,2,1,22,63
David Montgomery,45719,HB,DET,14,0,11,45.3,2,4,39,20.3,20.3,89.7,0,7,1,40,197,72.1,0,1,15,27.8,28.6,90.0,2,1,16,56
Payne Durham,84037,TE,TB,16,0,30,77.8,0,0,35,19.1,20.5,100.0,1,0,0,39,190,,0,0,0,0.0,0.0,,0,0,0,63
Samaje Perine,11869,HB,KC,17,0,16,58.1,1,1,38,16.0,15.3,94.7,0,3,1,39,255,63.7,0,1,29,18.7,18.0,94.8,2,1,30,167
Cade Stover,101486,TE,HST,15,0,13,23.6,1,6,33,18.5,20.0,86.4,3,8,1,38,190,27.5,0,1,3,5.3,6.5,83.3,1,0,4,62
Andrus Peat,9446,G,LV,6,0,23,30.8,1,1,34,100.0,100.0,94.1,0,3,1,38,38,22.6,0,1,17,100.0,100.0,91.2,2,1,19,19
Jalen Sundell,91396,C,SEA,2,0,29,74.5,0,0,35,97.2,97.4,100.0,0,0,0,37,38,72.2,0,0,14,100.0,100.0,100.0,0,0,16,16
Marcedes Lewis,2973,TE,CHI,17,0,6,80.9,0,1,33,54.1,55.2,98.5,0,1,0,37,67,,0,0,0,0.0,0.0,,0,0,0,6
Kenneth Gainwell,77737,HB,PHI,17,1,24,38.2,0,4,36,23.1,22.3,83.3,1,8,4,37,166,43.4,0,4,25,27.8,27.7,80.0,7,3,26,94
Kyle Juszczyk,7912,FB,SF,17,0,28,72.9,0,2,35,12.5,12.6,97.1,0,2,0,37,293,72.0,0,0,13,11.2,11.3,100.0,0,0,14,124
Tylan Grable,109425,T,BUF,2,0,4,78.8,0,0,36,100.0,100.0,100.0,0,0,0,36,36,69.3,0,0,17,100.0,100.0,100.0,0,0,17,17
Durham Smythe,47257,TE,MIA,17,0,17,53.6,1,1,32,20.6,22.1,96.9,0,2,0,36,163,34.8,0,0,4,19.0,20.8,100.0,0,0,5,24
Will Clapp,39386,G,BUF,1,0,4,32.9,0,2,35,100.0,100.0,97.1,0,2,0,35,35,24.5,0,1,17,100.0,100.0,97.1,1,0,17,17
Kyle Hergel,87427,G,NO,1,0,20,30.0,1,1,32,100.0,100.0,96.9,1,2,0,35,35,45.1,1,0,12,100.0,100.0,95.8,1,0,12,12
Tyrese Robinson,59998,G,NE,1,0,19,88.2,0,0,32,100.0,100.0,100.0,0,0,0,35,35,86.6,0,0,18,100.0,100.0,100.0,0,0,20,20
Christian Mahogany,98261,G,DET,2,0,11,82.6,1,0,34,100.0,100.0,98.5,0,1,0,34,34,73.7,1,0,12,100.0,100.0,95.8,1,0,12,12
Najee Harris,57121,HB,PIT,17,0,25,65.0,0,1,33,13.0,12.9,98.5,0,1,0,34,263,75.0,0,1,9,11.4,11.0,94.4,1,0,9,82
Tyjae Spears,97195,HB,TEN,12,0,31,51.8,0,2,31,15.8,15.6,93.5,0,3,1,34,218,59.0,0,1,17,14.5,15.2,91.2,2,1,20,132
Ben Bartch,84236,G,SF,3,0,28,74.0,0,1,32,100.0,100.0,98.4,0,1,0,34,34,58.4,0,1,12,100.0,100.0,95.8,1,0,13,13
Brock Bowers,146715,TE,LV,17,0,23,51.6,0,0,30,4.9,5.0,100.0,0,0,0,33,664,65.5,0,0,11,3.7,3.8,100.0,0,0,12,318
Cam Akers,57206,HB,MIN,14,0,18,32.3,2,3,30,19.9,19.9,88.3,0,6,1,33,166,36.0,2,1,15,23.4,23.3,90.0,3,0,17,73
AJ Arcuri,44757,T,LA,1,1,26,1.9,2,5,31,100.0,100.0,88.7,1,7,0,33,33,0.0,2,4,23,100.0,100.0,87.0,6,0,24,24
Jaelyn Duncan,81722,T,TEN,4,0,31,53.3,0,1,31,100.0,100.0,95.2,0,2,1,32,32,34.5,0,1,16,100.0,100.0,90.6,2,1,17,17
Tommy Tremble,84025,TE,CAR,12,1,5,30.0,0,3,29,9.9,10.1,94.8,2,3,0,31,308,31.7,0,0,4,3.7,3.4,100.0,0,0,4,118
Geoff Swaim,9679,TE,CLV,8,0,8,65.6,0,2,29,38.7,37.8,96.6,0,2,0,31,82,27.0,0,1,4,30.8,25.0,87.5,1,0,4,16
Noah Gray,60878,TE,KC,17,0,16,68.5,1,1,31,8.9,8.4,96.8,0,2,0,31,369,74.1,0,0,2,1.6,1.4,100.0,0,0,2,140
D'Ernest Johnson,45734,HB,JAX,13,0,15,24.1,1,1,28,19.3,19.5,92.9,2,3,1,30,154,20.3,1,1,17,19.1,18.1,88.2,3,1,17,94
Ezekiel Elliott,10638,HB,DAL,15,0,9,59.8,1,1,25,16.3,18.2,96.0,0,2,0,30,165,61.5,0,0,5,6.9,10.1,100.0,0,0,8,79
Bucky Irving,144970,HB,TB,17,0,30,29.2,0,1,28,10.4,10.8,87.5,0,4,3,30,279,18.7,0,1,12,12.1,12.1,79.2,3,2,13,107
Adam Prentice,35639,FB,NO,17,0,20,50.0,0,0,29,33.7,33.3,96.6,0,1,1,30,90,78.3,0,0,2,20.0,18.2,100.0,0,0,2,11
Travis Kelce,7844,TE,KC,16,0,16,68.0,1,2,29,4.8,4.7,94.8,1,3,0,30,643,74.9,0,0,3,1.1,1.0,100.0,0,0,3,296
Emari Demercado,77763,HB,ARZ,13,0,1,43.9,0,4,29,23.6,23.1,93.1,0,4,0,30,130,41.4,0,3,16,22.9,21.3,90.6,3,0,16,75
Troy Fautanu,100521,T,PIT,1,0,25,69.3,1,1,23,100.0,100.0,95.7,0,2,0,29,29,63.2,0,1,9,100.0,100.0,94.4,1,0,12,12
Emanuel Wilson,154173,HB,GB,17,0,12,60.5,0,4,27,21.1,21.3,92.6,0,4,0,29,136,79.5,0,1,16,31.4,32.1,96.9,1,0,18,56
Hunter Henry,10669,TE,NE,16,1,19,58.3,0,2,26,5.1,5.2,96.2,2,2,0,29,556,34.9,0,2,6,2.3,2.5,83.3,2,0,7,280
Tyler Conklin,47124,TE,NYJ,16,0,22,78.8,0,0,27,5.1,5.2,100.0,1,0,0,29,558,79.8,0,0,7,3.8,4.0,100.0,0,0,8,200
Tyre Phillips,59874,T,NYG,1,0,21,48.6,0,4,29,100.0,100.0,93.1,0,4,0,29,29,29.8,0,4,14,100.0,100.0,85.7,4,0,14,14
Jeremy Ruckert,84029,TE,NYJ,17,0,22,81.8,0,0,26,13.4,14.1,100.0,0,0,0,29,206,69.2,0,0,2,3.9,3.8,100.0,0,0,2,52
Kimani Vidal,123727,HB,LAC,10,0,27,47.1,1,2,28,25.2,24.2,83.9,0,6,3,29,120,44.2,0,1,13,26.0,25.5,80.8,3,2,14,55
Grant Calcaterra,60997,TE,PHI,17,0,24,51.5,0,1,26,8.2,8.7,90.4,0,3,2,29,334,58.5,0,1,7,4.1,4.5,92.9,1,0,8,177
Ja'Tavion Sanders,144717,TE,CAR,16,0,5,56.3,0,0,27,7.9,7.7,96.3,1,1,1,28,362,70.0,0,0,1,0.6,1.1,100.0,0,0,2,176
D'Onta Foreman,11844,HB,CLV,10,0,8,33.5,1,0,26,26.0,25.9,94.2,0,2,1,28,108,80.6,0,0,3,14.3,17.4,100.0,0,0,4,23
AJ Barner,129433,TE,SEA,17,0,29,56.8,0,0,22,9.2,10.8,100.0,2,0,0,28,260,51.6,0,0,6,5.5,5.1,100.0,0,0,6,117
Tucker Kraft,104034,TE,GB,17,0,12,60.4,1,0,24,5.2,5.4,97.9,0,1,0,27,501,65.0,0,0,7,3.5,3.1,100.0,0,0,7,228
Hunter Long,60859,TE,LA,17,0,26,73.4,0,0,26,26.5,26.0,100.0,1,0,0,27,104,,0,0,0,0.0,0.0,,0,0,0,33
Braelon Allen,145159,HB,NYJ,17,0,22,52.7,0,1,24,15.2,15.9,97.9,0,1,0,27,170,51.8,0,0,5,13.9,17.1,100.0,0,0,7,41
Mark Andrews,47436,TE,BLT,17,0,3,58.1,1,3,25,6.6,6.6,92.0,0,4,0,27,409,41.4,1,1,11,5.7,5.9,90.9,2,0,12,203
Jeremy McNichols,11917,HB,WAS,15,0,32,56.0,0,1,24,15.7,17.0,97.9,0,1,0,27,159,36.2,0,0,4,5.8,8.2,100.0,0,0,6,73
Pharaoh Brown,12247,TE,SEA,15,0,29,47.8,1,0,22,21.8,24.8,97.7,2,1,0,27,109,57.1,0,0,2,8.0,10.7,100.0,0,0,3,28
Harrison Bryant,26394,TE,LV,12,0,23,47.8,0,3,24,25.5,26.5,93.7,0,3,0,27,102,36.3,0,0,1,2.8,2.6,100.0,0,0,1,38
Will Dissly,30762,TE,LAC,15,0,27,72.6,1,2,27,8.6,8.0,94.4,0,3,0,27,339,70.5,0,2,10,6.4,6.1,90.0,2,0,10,163
MyCole Pruitt,9576,TE,PIT,12,0,25,83.8,0,0,25,29.4,28.0,100.0,0,0,0,26,93,71.8,0,0,2,15.4,15.4,100.0,0,0,2,13
Juwan Johnson,28305,TE,NO,17,0,20,20.0,2,2,24,5.5,5.6,91.7,2,4,0,26,468,4.0,2,2,9,4.1,3.8,77.8,4,0,9,234
Kareem Hunt,11841,HB,KC,13,0,16,77.1,1,1,25,10.5,10.3,96.0,0,2,0,26,252,69.3,1,0,6,8.6,7.8,91.7,1,0,6,77
Ty Johnson,45769,HB,BUF,17,0,4,45.0,0,2,21,10.0,11.0,95.2,0,2,0,26,237,24.5,0,2,10,8.2,9.9,90.0,2,0,14,141
Jonnu Smith,11855,TE,MIA,17,3,17,69.6,1,1,23,4.9,5.2,95.7,4,2,0,26,504,62.6,0,1,11,7.4,6.9,95.5,1,0,11,160
Chris Brooks,83644,HB,GB,12,0,12,72.1,0,1,25,26.9,25.5,98.0,0,1,0,26,102,64.9,0,1,18,34.0,31.1,97.2,1,0,19,61
Dawson Knox,35883,TE,BUF,16,1,4,70.4,0,1,23,7.2,7.2,97.8,2,1,0,25,348,75.8,0,0,3,2.3,2.0,100.0,0,0,3,149
Nick Chubb,45783,HB,CLV,8,0,8,47.3,0,2,24,21.6,20.8,95.8,0,2,0,25,120,70.5,0,0,6,20.0,18.2,100.0,0,0,6,33
Tyler Allgeier,83639,HB,ATL,17,0,2,59.6,0,1,23,19.8,20.5,97.8,0,1,0,25,122,33.3,0,1,10,20.4,20.8,95.0,1,0,11,53
Josh Whyle,54037,TE,TEN,17,0,31,62.0,0,1,25,12.6,12.1,98.0,0,1,0,25,207,38.8,0,1,4,4.1,3.8,87.5,1,0,4,104
Davis Allen,99697,TE,LA,14,0,26,51.1,1,1,23,14.6,14.1,95.7,0,2,0,24,170,71.7,0,0,1,1.4,1.3,100.0,0,0,1,78
Bill Murray,48692,G,CHI,1,0,6,85.7,0,0,20,100.0,100.0,100.0,0,0,0,24,24,84.1,0,0,12,100.0,100.0,100.0,0,0,14,14
C.J. Hanson,102272,G,KC,1,0,16,1.6,0,3,23,100.0,100.0,89.1,0,4,1,24,24,0.0,0,2,12,100.0,100.0,83.3,3,1,12,12
Kyle Pitts,83964,TE,ATL,17,0,2,35.5,0,1,21,4.5,4.7,92.9,2,2,1,24,511,24.9,0,0,3,1.0,1.3,66.7,1,1,4,317
Miles Sanders,40555,HB,CAR,11,0,5,38.2,0,2,22,14.5,15.1,90.9,0,3,1,24,159,73.7,0,1,8,12.3,12.9,93.7,1,0,9,70
Jordan Mason,62946,HB,SF,11,0,28,44.5,1,1,23,12.0,11.8,95.7,0,2,0,24,203,39.0,1,1,9,9.2,9.7,88.9,2,0,10,103
Hunter Nourzad,91674,C,KC,1,0,16,81.2,0,0,23,100.0,100.0,100.0,0,0,0,24,24,79.7,0,0,12,100.0,100.0,100.0,0,0,12,12
Isiah Pacheco,83747,HB,KC,7,0,16,79.4,0,1,19,16.4,18.1,92.1,0,2,1,23,127,81.5,0,1,11,25.0,27.5,95.5,1,0,14,51
Tank Bigsby,123974,HB,JAX,15,0,15,25.3,0,2,22,14.6,14.7,90.9,0,3,1,23,156,21.7,0,2,9,14.8,14.5,77.8,3,1,9,62
Noah Fant,42388,TE,SEA,14,1,29,34.5,0,4,21,5.2,5.2,90.5,1,4,0,23,439,30.8,0,4,11,5.1,5.6,81.8,4,0,13,233
Patrick Taylor,40448,HB,SF,7,0,28,65.9,0,0,22,21.0,20.5,95.5,0,1,1,23,112,54.6,0,0,10,20.4,21.2,90.0,1,1,11,52
Hassan Haskins,83701,HB,LAC,12,0,27,52.9,0,2,22,26.5,24.2,95.5,0,2,0,23,95,23.9,0,2,9,20.5,17.6,88.9,2,0,9,51
Eric Saubert,11929,TE,SF,17,1,28,31.8,1,2,20,11.7,12.0,92.5,2,3,0,22,184,25.8,0,2,4,5.1,4.8,75.0,2,0,4,84
Alec Ingold,34934,FB,MIA,15,0,17,61.8,0,1,20,16.1,16.7,97.5,0,1,0,22,132,,0,0,0,0.0,0.0,,0,0,0,11
Austin Hooper,10715,TE,NE,17,0,19,68.4,0,1,20,6.5,6.6,97.5,0,1,0,22,335,52.9,0,0,4,2.8,2.6,100.0,0,0,4,155
Chigoziem Okonkwo,84000,TE,TEN,17,0,31,65.5,0,1,20,5.0,5.1,97.5,1,1,0,22,435,68.2,0,0,8,3.8,4.3,100.0,0,0,10,233
Gus Edwards,46027,HB,LAC,11,0,27,49.1,0,2,20,23.3,23.3,95.0,0,2,0,21,90,39.4,0,1,4,16.7,16.7,87.5,1,0,4,24
Zamir White,83665,HB,LV,7,0,23,47.8,0,1,18,24.3,26.9,97.2,0,1,0,21,78,37.7,0,1,6,22.2,25.0,91.7,1,0,7,28
Foster Sarell,52272,T,LAC,4,0,27,59.2,0,0,19,100.0,100.0,100.0,0,0,0,20,20,35.3,0,0,7,100.0,100.0,100.0,0,0,7,7
Pat Freiermuth,84085,TE,PIT,17,0,25,50.6,0,2,20,4.3,4.1,95.0,0,2,0,20,493,20.9,0,1,5,2.4,2.3,90.0,1,0,5,222
Luke Schoonmaker,84005,TE,DAL,17,1,9,51.8,0,2,20,10.1,9.2,95.0,3,2,0,20,217,70.0,0,0,2,2.7,2.4,100.0,0,0,2,84
Pierre Strong Jr.,66619,HB,CLV,12,0,8,42.8,1,1,18,11.8,12.7,94.4,0,2,0,20,158,25.2,1,1,10,14.3,15.1,90.0,2,0,11,73
Tucker Fisk,52286,TE,LAC,9,0,27,75.7,1,0,19,26.4,26.7,97.4,0,1,0,20,75,69.8,0,0,1,12.5,11.1,100.0,0,0,1,9
Jake Ferguson,61081,TE,DAL,14,0,9,49.7,0,0,18,4.4,4.6,100.0,1,0,0,20,434,76.7,0,0,2,1.0,0.9,100.0,0,0,2,217
De'Von Achane,124305,HB,MIA,17,1,17,15.7,0,5,19,4.5,4.2,81.6,1,6,1,19,456,7.9,0,2,4,3.9,3.6,75.0,2,0,4,111
Johnny Mundt,12206,TE,MIN,17,1,18,63.8,0,0,17,8.2,8.4,100.0,1,0,0,19,225,80.5,0,0,2,2.2,2.0,100.0,0,0,2,100
Daniel Bellinger,84041,TE,NYG,15,0,21,46.3,1,0,16,8.3,8.9,90.6,0,2,1,19,213,75.0,0,0,1,1.3,1.1,100.0,0,0,1,93
Isaiah Prince,47019,T,TEN,1,0,31,46.8,0,0,16,100.0,100.0,93.7,3,1,1,19,19,50.4,0,0,7,100.0,100.0,100.0,0,0,10,10
Ben Cleveland,41696,G,BLT,4,0,3,45.6,0,2,17,100.0,100.0,94.1,0,2,0,18,18,14.0,0,2,8,100.0,100.0,87.5,2,0,8,8
Ronnie Rivers,57208,HB,LA,5,0,26,42.0,0,0,17,31.5,32.1,100.0,0,0,0,18,56,79.9,0,0,3,17.6,17.6,100.0,0,0,3,17
Ty Chandler,62942,HB,MIN,11,0,18,33.1,0,3,14,18.4,20.7,89.3,1,3,0,18,87,46.0,0,1,5,12.8,15.6,90.0,1,0,7,45
Trevor Keegan,101544,G,PHI,1,0,24,61.6,0,0,18,100.0,100.0,94.4,0,1,1,18,18,44.3,0,0,8,100.0,100.0,87.5,1,1,8,8
Khalil Herbert,41668,HB,CIN,11,0,7,46.4,1,1,18,21.7,20.9,94.4,0,2,0,18,86,45.4,1,1,8,21.6,20.0,87.5,2,0,8,40
Travis Homer,45859,HB,CHI,6,0,6,90.1,0,0,14,24.6,26.2,100.0,0,0,0,17,65,89.5,0,0,12,30.8,32.6,100.0,0,0,15,46
Isaiah Likely,83955,TE,BLT,16,2,3,33.1,0,1,17,5.3,5.0,97.1,3,1,0,17,340,32.7,0,1,5,3.2,3.1,90.0,1,0,5,163
Eric Tomlinson,9786,TE,LAC,8,0,27,62.7,1,0,16,36.4,37.0,96.9,0,1,0,17,46,50.2,1,0,2,40.0,33.3,75.0,1,0,2,6
Connor Heyward,57301,TE,PIT,16,1,25,86.5,0,0,14,19.4,21.3,100.0,2,0,0,17,80,,0,0,0,0.0,0.0,,0,0,0,16
Ben Sinnott,122616,TE,WAS,17,0,32,81.0,0,0,15,12.3,13.0,100.0,1,0,0,17,131,,0,0,0,0.0,0.0,,0,0,0,23
Blake Corum,129574,HB,LA,11,0,26,54.1,0,1,17,34.7,34.0,91.2,0,2,1,17,50,30.9,0,0,4,36.4,36.4,75.0,1,1,4,11
Charlie Kolar,60917,TE,BLT,13,0,3,53.8,0,1,15,24.6,23.9,96.7,0,1,0,16,67,,0,0,0,0.0,0.0,,0,0,0,9
Jordan Akins,47050,TE,CLV,17,0,8,75.6,0,0,15,4.6,4.5,100.0,0,0,0,16,353,83.0,0,0,3,2.4,2.9,100.0,0,0,4,138
Gerald Everett,11799,TE,CHI,16,0,6,72.6,0,1,14,10.3,10.9,96.4,0,1,0,16,147,75.0,0,0,1,1.5,1.3,100.0,0,0,1,75
George Fant,11282,T,SEA,2,0,29,44.7,0,1,14,100.0,100.0,82.1,0,3,2,16,16,34.8,0,1,9,100.0,100.0,72.2,3,2,11,11
Jordan Mims,57209,HB,NO,7,0,20,80.4,1,0,14,20.6,20.5,96.4,0,1,0,15,73,77.1,1,0,9,21.4,22.7,94.4,1,0,10,44
Blake Whiteheart,77881,TE,CLV,11,0,8,61.8,0,2,13,14.1,14.9,92.3,0,2,0,15,101,57.9,0,1,5,13.5,16.7,90.0,1,0,7,42
Christian McCaffrey,11763,HB,SF,4,0,28,77.2,0,0,13,12.6,12.7,92.3,0,1,1,14,110,79.9,0,0,2,4.4,6.1,100.0,0,0,3,49
Erick All,52595,TE,CIN,9,0,7,77.7,0,0,14,11.6,11.5,100.0,0,0,0,14,122,66.5,0,0,1,4.0,3.8,100.0,0,0,1,26
Jack Stoll,42058,TE,MIA,7,0,17,63.8,0,1,14,25.0,23.7,96.4,0,1,0,14,59,,0,0,0,0.0,0.0,,0,0,0,17
Brevyn Spann-Ford,84006,TE,DAL,16,0,9,71.1,0,0,13,9.7,8.8,100.0,0,0,0,13,148,67.8,0,0,1,2.3,2.0,100.0,0,0,1,51
Raheem Blackshear,57385,HB,CAR,7,0,5,21.9,0,1,12,31.6,32.5,87.5,0,2,1,13,40,42.7,0,1,7,33.3,33.3,92.9,1,0,7,21
Raheem Mostert,9783,HB,MIA,13,0,17,56.8,0,1,12,7.2,7.2,95.8,0,1,0,13,180,44.1,0,0,5,9.4,8.8,100.0,0,0,5,57
David Njoku,11784,TE,CLV,11,0,8,78.5,0,0,12,3.1,3.1,100.0,0,0,0,13,416,74.4,0,0,6,3.5,3.2,100.0,0,0,6,185
Eric Gray,99143,HB,NYG,13,0,21,48.6,0,0,13,16.9,16.5,100.0,0,0,0,13,79,43.1,0,0,4,12.5,11.8,100.0,0,0,4,34
Isaac Guerendo,83806,HB,SF,14,0,28,41.7,0,1,13,10.9,10.4,88.5,0,2,1,13,125,43.1,0,1,5,10.9,10.9,90.0,1,0,5,46
Sincere McCormick,97119,HB,LV,4,0,23,55.8,1,0,11,30.6,32.5,95.5,0,1,0,13,40,45.7,1,0,2,22.2,20.0,75.0,1,0,2,10
Ray-Ray McCloud III,47895,WR,ATL,17,0,2,80.1,0,0,12,2.2,2.2,100.0,1,0,0,13,599,,0,0,0,0.0,0.0,,0,0,0,341
Dameon Pierce,83659,HB,HST,10,0,13,43.7,1,0,12,19.7,19.7,95.8,0,1,0,12,61,29.0,0,0,1,4.5,4.5,100.0,0,0,1,22
Michael Niese,108444,C,DET,4,0,11,63.5,0,0,12,100.0,100.0,100.0,0,0,0,12,12,26.3,0,0,2,100.0,100.0,100.0,0,0,2,2
Ian Thomas,42130,TE,CAR,5,0,5,71.1,0,1,12,33.3,30.8,95.8,0,1,0,12,39,69.3,0,0,1,12.5,10.0,100.0,0,0,1,10
Zach Ertz,7816,TE,WAS,17,0,32,62.0,0,0,11,2.1,2.2,100.0,1,0,0,12,548,23.3,0,0,0,0.0,0.4,,0,0,1,249
Michael Burton,9601,FB,DEN,17,0,10,75.8,1,0,11,15.1,15.6,95.5,0,1,0,12,77,76.4,0,0,2,7.1,6.7,100.0,0,0,2,30
Andrew Rupcich,156082,G,TEN,2,0,31,17.0,1,0,12,100.0,100.0,95.8,0,1,0,12,12,12.5,1,0,8,100.0,100.0,93.7,1,0,8,8
DeeJay Dallas,55632,HB,ARZ,4,0,1,67.3,0,0,11,33.3,33.3,100.0,0,0,0,12,36,85.3,0,0,6,31.6,33.3,100.0,0,0,7,21
Carson Steele,145632,HB,KC,15,0,16,18.0,3,0,11,11.5,11.0,86.4,0,3,0,11,100,7.5,0,0,0,0.0,0.0,,0,0,0,30
