,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
T614,KJ Sails,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Chazz Surratt,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Tyler Johnson,NYJ,WR,"1,743.60",-,169.98,-,-,-,-,-,,,,
T614,Isaiah Oliver,NYJ,S,-,-,169.89,-,-,-,-,-,,0.01,,
T614,Cody Barton,TEN,LB,356.00,-,172.68,-,-,-,-,-,,0.04,,
T614,Britain Covey,LAR,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Drew Lock,SEA,QB,-,-,169.96,-,241.40,-,-,-,,,,
T614,Michael Jacobson,NO,TE,-,-,-,-,-,-,-,-,,,,
T614,Matt Ammendola,FA,K,-,-,169.97,-,-,-,416.00,-,,0.00,,
T614,Jalen McCleskey,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Josh Oliver,MIN,TE,"1,751.60",-,169.92,-,246.44,-,-,-,,0.00,,
T614,Hayden Hurst,FA,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Dre Greenlaw,DEN,LB,516.00,-,170.89,-,-,-,-,-,,1.09,,
T614,Cheyenne O'Grady,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,La'Michael Pettway,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,T.J. Smith,TEN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Aca'Cedric Ware,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Lawrence Cager,WAS,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Nyheim Hines,LAC,RB,-,-,169.99,-,241.87,-,-,-,,0.01,,
T614,Keke Coutee,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Broderick Washington,BAL,DT,705.00,-,169.95,-,-,-,-,-,,,,
T614,Zach Gentry,FA,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Karan Higdon,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Jonathan Crawford,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Nick Westbrook-Ikhine,MIA,WR,277.37,-,170.95,-,276.12,306.30,-,314.80,0.80,0.02,,
T614,Kevin Givens,SF,DT,-,-,170.01,-,-,-,-,-,,,Ques,Pectoral
T614,Zach Allen,DEN,DT,204.00,-,165.71,-,-,-,-,-,,0.44,,
T614,Will Harris,WAS,S,419.00,-,171.84,-,-,-,-,-,1.85,,,
T614,Eric Dungey,FA,QB,-,-,-,-,-,-,-,522.70,,,,
T614,Dontae Strickland,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Damion Jeanpiere,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Juan Thornhill,PIT,S,-,-,170.38,-,-,-,-,-,,,,
T614,Olamide Zaccheaus,CHI,WR,413.96,-,169.93,-,247.00,-,623.10,-,,0.00,,
T614,Tremaine Edmunds,CHI,LB,303.00,-,174.01,-,-,-,-,-,,0.07,,
T614,Tim Settle,HOU,DT,-,-,170.63,-,-,-,-,-,,,,
T614,Rasheem Green,FA,DE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Josh Smith,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Joe Giles-Harris,CIN,LB,-,-,170.03,-,-,-,-,-,,,,
T614,Daniel Jones,IND,QB,222.43,-,170.09,174.22,220.57,169.60,358.10,195.20,4.07,0.03,,
T614,Ka'Raun White,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kirk Merritt,FA,RB,-,-,170.00,-,-,542.90,700.50,555.30,,,,
T614,Sam Renner,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Joe Gaziano,TEN,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Markus Bailey,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Brycen Hopkins,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Eddy Wilson,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Zack Baun,PHI,LB,152.00,-,65.23,82.56,-,-,-,-,,11.19,,
T614,Alec Ingold,MIA,FB,-,-,170.16,-,-,-,-,-,,0.00,Ques,Concussion
T614,Arthur Maulet,HOU,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Tyree Jackson,WAS,TE,"1,221.60",-,169.99,-,-,-,-,-,,,IR,Undisclosed
T614,Cam Lewis,BUF,CB,-,-,170.00,-,-,-,-,-,,,Ques,Calf
T614,Tyler Mabry,CAR,TE,-,-,169.99,-,-,-,-,-,,,IR,Undisclosed
T614,K.J. Osborn,WAS,WR,-,-,169.98,-,-,-,-,-,,,,
T614,Matt Seybert,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Chris Westry,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Josh Hines-Allen,JAX,DE,369.00,-,174.18,-,-,-,-,-,,0.16,,
T614,Lucky Jackson,MIN,WR,-,-,169.96,-,-,-,419.70,514.90,,0.00,,
T614,Stephen Carlson,CHI,TE,-,-,169.99,-,-,-,580.70,-,,,,
T614,Jesper Horsted,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Deandre Baker,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Rodrigo Blankenship,FA,K,-,-,-,-,-,425.70,-,512.00,,,,
T614,Byron Cowart,NYJ,DT,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T614,Carlton Davis,NE,CB,755.00,-,174.34,-,-,-,-,-,,,,
T614,Ryan Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Will Hastings,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kerryon Johnson,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Dorance Armstrong,WAS,DE,686.00,-,172.39,-,-,-,-,-,,,,
T614,Steven Sims,SEA,WR,-,-,169.99,-,-,589.70,-,-,,,Ques,Hamstring
T614,Jace Sternberger,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Ryan Willis,FA,QB,-,-,-,-,-,573.90,-,-,,,,
T614,David Long,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Nathan Cottrell,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Marcus Marshall,FA,RB,-,-,-,-,-,-,-,694.00,,,,
T614,Jonathan Greenard,MIN,LB,232.00,-,153.52,-,-,-,-,-,,1.09,,
T614,Anthony Nelson,TB,LB,-,-,170.49,-,-,-,-,-,,,,
T614,Desmond Martin,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tevaughn Campbell,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Ka'dar Hollman,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Knee - ACL
T614,Johnathan Abram,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Jackson Harris,FA,TE,-,-,-,-,-,-,-,591.50,,,,
T614,Jonathan Ledbetter,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Michael Jackson,CAR,CB,413.00,-,171.90,-,-,-,-,-,,,,
T614,Sheldrick Redwine,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Charlie Taumoepeau,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Justice Shelton-Mosley,FA,WR,-,-,-,-,-,-,458.00,-,,,,
T614,Broc Rutter,FA,QB,-,-,-,-,-,-,663.00,-,,,,
T614,LaCale London,ATL,DE,-,-,170.02,-,-,-,-,-,,,,
T614,Taryn Christion,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Christian Rozeboom,CAR,LB,366.00,-,173.67,-,-,-,-,-,2.30,0.19,,
T614,Luke Sellers,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Omar Bayless,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Rock Ya-Sin,DET,CB,-,-,169.89,-,-,-,-,-,,,,
T614,Adam Trautman,DEN,TE,-,-,169.96,-,-,-,606.10,-,,,,
T614,Kristian Wilkerson,BUF,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Donald Parham,PIT,TE,-,-,169.99,-,-,-,-,-,,,IR,Achilles
T614,Justin Johnson,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Nick Tiano,FA,QB,-,-,-,-,-,548.10,-,-,,,,
T614,Jaylon Moore,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Micah Abernathy,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Darrell Taylor,HOU,DE,-,-,170.01,-,-,-,-,-,,,,
T614,Tommy Townsend,HOU,P,400.00,-,173.94,-,-,-,-,-,,0.68,,
T614,Preston Williams,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Ketner Kupp,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Steven Wroblewski,FA,TE,-,-,-,-,-,494.50,-,-,,,,
T614,Joshua Kelley,FA,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Jack Fox,DET,P,490.00,-,170.51,-,-,-,-,-,,,,
T614,Elijah Benton,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Kenji Bahar,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Devin Phelps,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dre'Mont Jones,TEN,DE,-,-,170.96,-,-,-,-,-,,,,
T614,DaVon Hamilton,JAX,DT,461.00,-,170.63,-,-,-,-,-,,,,
T614,Mike Weber,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Denzel Ward,CLE,CB,756.00,-,171.32,-,-,-,-,-,,,,
T614,Jaylen Smith,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Ty Johnson,BUF,RB,292.98,-,170.30,-,274.62,297.30,-,375.70,0.81,0.00,,
T614,Darnell Savage,JAX,S,684.00,-,170.86,-,-,-,-,-,,,,
T614,Ke'Shawn Vaughn,SF,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Xavier Jones,FA,RB,-,-,-,-,-,-,618.90,-,,,Ques,Achilles
T614,James Proche,TEN,WR,-,-,169.99,-,-,-,-,570.80,,,,
T614,Eli Mencer,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Antonio Callaway,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kylan Johnson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jordan Scarlett,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tae Crowder,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Terry Godwin,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Roquan Smith,BAL,LB,47.00,-,86.05,75.79,-,-,-,-,,7.66,,
T614,Ben DiNucci,ATL,QB,-,-,169.94,-,-,487.20,452.80,647.50,,0.00,,
T614,Darrin Hall,FA,RB,-,-,-,-,-,692.50,-,-,,,,
T614,Dane Jackson,BUF,CB,-,-,170.02,-,-,-,-,-,,,,
T614,Jordan Whitehead,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,John Kelly,FA,RB,-,-,169.99,-,-,394.00,-,433.00,,,,
T614,Landis Durham,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Dalton Schoen,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Duke Shelley,IND,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Dare Odeyingbo,FA,DE,769.00,-,-,-,-,-,-,-,,,,
T614,Isaiah Zuber,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Jerome Baker,CLE,LB,-,-,172.61,-,-,-,-,-,,0.03,,
T614,Andy Isabella,FA,WR,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T614,Penny Hart,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Concussion
T614,Taylor Rapp,BUF,S,379.00,-,171.22,-,-,-,-,-,,,,
T614,McTelvin Agim,CIN,DT,-,-,170.13,-,-,-,-,-,,,,
T614,Mitch Wishnowsky,FA,P,-,-,169.88,-,-,-,-,-,,,,
T614,Corey Sutton,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Skylar Thompson,PIT,QB,-,-,169.98,-,-,-,-,-,,,,
T614,Jacob Eason,FA,QB,-,-,-,-,-,-,547.00,-,,,,
T614,Isaac Nauta,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Darius Anderson,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Ross Blacklock,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Innis Gaines,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Shaq Smith,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Dexter Lawrence,NYG,DT,329.00,-,168.04,-,-,-,-,-,,0.50,Ques,Elbow
T614,Cornell Powell,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Isaiah Simmons,GB,LB,743.00,-,169.96,-,-,-,-,-,,,,
T614,Nolan Turner,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,K'Von Wallace,NYG,S,-,-,170.00,-,-,-,-,-,,,,
T614,Joe Bachie,IND,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jonathon Cooper,DEN,LB,-,-,174.34,-,-,-,-,-,,0.03,,
T614,C.J. Saunders,FA,WR,-,-,-,-,-,-,605.20,-,,,,
T614,Jalen Morton,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Lamar Jackson,ATL,CB,-,-,169.61,-,-,-,-,-,,0.01,,
T614,Ben Stille,MIA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Jack Stoll,NO,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Shaun Bradley,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Darius Bradwell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Cedrick Wilson,NO,WR,"1,219.40",-,169.99,-,-,-,373.50,-,,0.00,,
T614,Michael Gallup,WAS,WR,-,-,169.97,-,241.22,-,-,-,,,,
T614,Corey Bojorquez,CLE,P,406.00,-,128.63,-,-,-,-,-,,1.63,,
T614,T.J. Simmons,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Miller Forristall,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Sewo Olonilua,FA,FB,-,-,-,-,-,-,-,467.50,,,Ques,Neck
T614,L'Jarius Sneed,TEN,CB,539.00,-,176.31,-,-,-,-,-,,0.07,PUP-P,Quadriceps
T614,Jake Funk,FA,RB,-,-,169.99,-,-,610.60,444.30,-,,,,
T614,Jason Huntley,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tarvarius Moore,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Demetric Felton,WAS,RB,-,-,169.99,-,-,-,-,-,,,,
T614,David Onyemata,ATL,DT,-,-,170.58,-,-,-,-,-,,,,
T614,Anthony Kelly,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dez Stewart,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Darrynton Evans,BUF,RB,-,-,169.99,-,241.21,-,-,-,,,Ques,Hamstring
T614,Reggie Gilliam,BUF,FB,-,-,169.99,-,-,559.30,-,-,,,,
T614,Morgan Fox,ATL,DE,-,-,169.96,-,-,-,-,-,,,,
T614,Antoine Winfield,TB,S,241.00,-,164.42,-,-,-,-,-,,0.77,Ques,Lower Leg
T614,Marcus Tucker,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Alstevis Squirewell,FA,FB,-,-,-,-,-,387.00,465.30,-,,,,
T614,C.J. Ham,MIN,FB,-,-,169.95,-,-,-,-,-,,0.00,,
T614,Jack Sorenson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Devin Singletary,NYG,RB,287.64,-,170.07,208.51,275.30,335.30,334.00,319.70,1.55,0.00,,
T614,Harrison Bryant,HOU,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,John Raine,FA,TE,-,-,-,-,-,534.80,-,-,,,,
T614,Brandon Zylstra,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jonah Williams,NO,DE,-,-,169.98,-,-,-,-,-,,,,
T614,Braxton Westfield,FA,WR,-,-,-,-,-,558.50,-,-,,,,
T614,Rayshad Nichols,FA,DT,-,-,169.94,-,-,-,-,-,,,,
T614,Don Gardner,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Cade Johnson,FA,WR,-,-,-,-,-,-,503.30,681.80,,,,
T614,Clint Ratkovich,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Daniel Thomas,JAX,S,-,-,170.04,-,-,-,-,-,,,,
T614,Derrick Brown,CAR,DE,480.00,-,175.07,-,-,-,-,-,,0.14,,
T614,Spencer Nigh,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Eli Stove,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Knee - ACL
T614,Trevon Wesco,FA,TE,-,-,170.00,-,-,695.00,-,-,,,,
T614,Kyzir White,FA,LB,688.00,-,170.00,-,-,-,-,-,,,,
T614,Jalen Camp,FA,WR,-,-,-,-,-,-,655.90,-,,,,
T614,Mike Ford,ATL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Abu Daramy-Swaray,FA,DB,-,-,-,-,-,-,-,-,,,,
T614,Eric Banks,TB,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Cam Gill,MIN,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Robert Rochell,DAL,CB,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T614,John Parker Romo,NE,K,-,-,169.94,-,-,699.80,-,-,,0.00,,
T614,Grayson Gunter,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,De'Jon Harris,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Cole Kelley,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Jonathan Marshall,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Grant Morgan,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Ben Skowronek,PIT,WR,-,-,169.98,-,-,-,577.20,-,,,Ques,Toe
T614,Tre Webb,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Myles Adams,DET,DT,-,-,169.95,-,-,-,-,-,,,,
T614,Elijah Garcia,NYG,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Kylen Granson,PHI,TE,-,-,169.97,-,242.06,-,-,-,,0.00,,
T614,Elerson Smith,CLE,DE,-,-,170.00,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T614,Jeremy Chinn,LV,S,256.00,-,173.19,-,-,-,-,-,2.61,0.36,,
T614,Bryce Notree,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Landon Lenoir,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jake Verity,FA,K,-,-,-,-,-,-,459.50,-,,,,
T614,Ed Oliver,BUF,DT,498.00,-,173.40,-,-,-,-,-,,,,
T614,Kevin Davidson,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Bobby Price,WAS,CB,-,-,170.00,-,-,-,-,-,,,,
T614,A.J. Rose,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Kayaune Ross,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Benny Snell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,DeMarkus Acy,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Damarea Crockett,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Christian Holmes,CLE,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Albert Okwuegbunam,LV,TE,-,-,169.98,-,-,-,-,450.50,,,,
T614,Michael Bandy,DEN,WR,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Samori Toure,CHI,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Brandon Jones,DEN,S,245.00,-,176.15,-,-,-,-,-,2.99,0.14,,
T614,Jordan Elliott,SF,DT,-,-,169.91,-,-,-,-,-,,,Ques,Back
T614,Bronson Rechsteiner,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Sam Kamara,CLE,DT,-,-,169.98,-,-,-,-,-,,,,
T614,Malcolm Roach,DEN,DT,760.00,-,170.48,-,-,-,-,-,,,,
T614,Devin Duvernay,CHI,WR,-,-,169.97,-,-,-,-,-,,,Ques,Undisclosed
T614,Lil'Jordan Humphrey,NYG,WR,-,-,169.95,-,241.47,-,-,-,,,,
T614,Kelvin Harmon,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Nick McCloud,CHI,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Thaddeus Moss,FA,TE,-,-,-,-,-,532.50,-,-,,,,
T614,Jake Hansen,HOU,LB,-,-,169.99,-,-,-,-,-,,,,
T614,Marquez Callaway,LV,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Jarrett Guarantano,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Brandon Johnson,PIT,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Elijah Hamilton,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Kalija Lipscomb,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Devon Key,DEN,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Ra'Shaun Henry,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Raleigh Webb,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Tyrie Cleveland,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jeremiah Moon,FA,LB,-,-,169.91,-,-,-,-,-,,,Ques,Calf
T614,La'Mical Perine,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T614,Mecole Hardman,GB,WR,-,-,169.96,-,241.11,-,-,-,,0.00,,
T614,Brian Herrien,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Elijah Holyfield,FA,RB,-,-,-,-,-,527.30,-,-,,,,
T614,Tyler Simmons,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Javon Wims,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Charlie Woerner,ATL,TE,-,-,169.97,-,241.14,-,-,-,,0.00,,
T614,Cameron Dantzler,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jeffery Simmons,TEN,DT,287.00,-,153.62,-,-,-,-,-,,0.80,,
T614,Jordan Thomas,FA,TE,-,-,-,-,-,-,-,642.00,,,,
T614,Khalil Dorsey,DET,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Tyrel Dodson,MIA,LB,286.00,-,174.26,-,-,-,-,-,,0.12,,
T614,Nnamdi Madubuike,BAL,DT,323.00,-,173.97,-,-,-,-,-,,0.02,,
T614,Kendrick Rogers,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Brittain Brown,CHI,RB,-,-,169.97,-,-,374.50,-,-,,,,
T614,Travis Homer,CHI,RB,-,-,169.97,-,-,-,-,-,,,Ques,Calf
T614,Maurice Ffrench,FA,WR,-,-,-,-,-,390.00,-,-,,,,
T614,Damar Hamlin,BUF,S,416.00,-,169.90,-,-,-,-,-,,,,
T614,Rashad Weaver,NYJ,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Talolo Limu-Jones,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Prince Smith,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Michael Hoecht,BUF,DE,-,-,170.03,-,-,-,-,-,,,Reserve-Sus,Suspension
T614,Calvin Bundage,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,A.J. Green,LAR,CB,-,-,169.83,-,-,-,-,-,,0.01,,
T614,Devin Harper,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Cole Christiansen,KC,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Elijah Riley,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Connor Slomka,FA,FB,-,-,-,-,-,-,-,543.80,,,,
T614,Raymond Calais,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Trey Ragas,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,DaMarcus Fields,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jordyn Brooks,MIA,LB,205.00,-,156.89,-,-,-,-,-,,2.82,,
T614,Antoine Wesley,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,John Mitchell,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jake Herslow,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Darrell Baker,TEN,CB,-,-,170.02,-,-,-,-,-,,,,
T614,Kindle Vildor,TB,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Quintez Cephus,HOU,WR,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Isaiahh Loudermilk,PIT,DE,-,-,170.02,-,-,-,-,-,,,,
T614,Kendric Pryor,CIN,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Alohi Gilman,LAC,S,-,-,173.04,-,-,-,-,-,,,,
T614,Corey Taylor,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tayler Hawkins,FA,S,-,-,169.99,-,-,-,-,-,,,Ques,Undisclosed
T614,Parker Houston,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Nijuel Hill,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Trenton Thompson,FA,S,-,-,169.96,-,-,-,-,-,,,,
T614,Rico Bussey,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,D'Angelo Amos,FA,S,-,-,-,-,-,-,-,-,,,,
T614,D.J. Wonnum,CAR,LB,324.00,-,171.81,-,-,-,-,-,,,,
T614,Shawn Poindexter,FA,WR,-,-,-,-,-,439.80,-,-,,,,
T614,J.J. Taylor,HOU,RB,-,-,169.87,-,-,-,-,-,,0.00,,
T614,Julian Blackmon,NO,S,-,-,170.83,-,-,-,-,-,,,,
T614,Grayland Arnold,ATL,S,-,-,170.00,-,-,-,-,-,,,IR,Undisclosed
T614,Chris Miller,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Denzel Mims,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Khalil Herbert,IND,RB,"1,265.74",-,170.03,-,262.99,334.30,327.60,299.50,0.66,0.00,Ques,Undisclosed
T614,Kwamie Lassiter,FA,WR,-,-,170.00,-,-,-,487.10,-,,,,
T614,Cortez Davis,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Brian Burns,NYG,LB,192.00,-,163.43,-,-,-,-,-,,0.78,,
T614,Taysir Mack,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Ian Thomas,LV,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Trishton Jackson,ARI,WR,-,-,169.99,-,-,-,-,-,,,IR,Thumb
T614,Naquan Jones,LAC,DT,-,-,169.94,-,-,-,-,-,,,,
T614,Tyreek Maddox-Williams,FA,LB,-,-,169.87,-,-,-,-,-,,,,
T614,Bryce Huff,SF,LB,-,-,169.98,-,-,-,-,-,,,,
T614,Patrick Taylor,SF,RB,-,-,169.97,-,241.27,-,-,-,,0.00,Ques,Shoulder
T614,Sam Franklin,DEN,S,-,-,170.00,-,-,-,-,-,,,,
T614,William Kwenkeu,BAL,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Drew Estrada,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Achilles
T614,Frank Darby,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Cary Angeline,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jack Jones,MIA,CB,-,-,170.64,-,-,-,-,-,,,,
T614,Velus Jones,NO,RB,-,-,169.99,-,-,645.00,378.00,-,,0.00,,
T614,Tyler Vaughns,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Rodarius Williams,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Camryn Bynum,IND,S,328.00,-,176.09,-,-,-,-,-,,0.08,,
T614,Cameron Goode,MIA,LB,-,-,170.00,-,-,-,-,-,,,,
